timestamp;temp;voltage;current;vibration;humidity;pressure;power;status
01/01/2024 00:00;24.83;12.605;0.975;3.55;54.48;1012.33;12.335;normal
01/01/2024 00:05;25.65;12.598;1.059;4.13;57.07;1013.78;13.291;normal
01/01/2024 00:10;25.3;12.906;1.339;11.68;58.93;1013.25;15.572;warning
01/01/2024 00:15;25.3;12.427;0.684;13.09;57.35;1006.32;7.62;critical
01/01/2024 00:20;26.02;12.456;1.042;4.7;51.99;1012.48;12.982;normal
01/01/2024 00:25;25.55;12.43;1.09;4.37;54.25;1021.4;13.665;normal
01/01/2024 00:30;24.02;12.713;0.874;5.54;51.7;1017.61;11.07;normal
01/01/2024 00:35;23.82;12.722;1.157;14.38;52.7;1002.42;13.363;critical
01/01/2024 00:40;24.31;12.703;1.044;4.87;59.02;1002.45;13.226;normal
01/01/2024 00:45;24.65;12.6;1.322;4.28;49.48;1006.51;16.656;normal
01/01/2024 00:50;25.55;12.309;1.122;4.69;55.42;1005.6;13.872;normal
01/01/2024 00:55;24.96;12.458;0.931;4.12;60.86;1010.85;11.589;normal
01/01/2024 01:00;37.5;12.435;1.662;7.61;51.28;1006.95;18.992;warning
01/01/2024 01:05;27.93;12.504;1.197;14.65;51.07;1010.81;13.479;critical
01/01/2024 01:10;27.93;14.0;0.77;4.57;48.5;1012.27;10.775;critical
01/01/2024 01:10;27.93;14.0;0.77;4.57;48.5;1012.27;10.775;critical
01/01/2024 01:20;24.46;12.534;1.367;4.79;51.71;1007.11;17.145;normal
01/01/2024 01:25;26.52;12.692;1.237;4.98;52.65;1005.46;15.712;normal
01/01/2024 01:30;26.42;12.573;1.253;4.97;50.67;1019.31;15.652;normal
01/01/2024 01:35;25.5;12.785;1.204;4.75;51.38;1006.95;15.308;normal
01/01/2024 01:40;27.56;12.984;1.292;5.22;56.53;1015.92;16.752;normal
01/01/2024 01:45;26.83;12.832;1.266;5.01;55.88;1015.43;16.28;normal
01/01/2024 01:50;24.09;12.825;1.247;5.16;55.97;1018.03;15.956;normal
01/01/2024 01:55;25.15;12.516;1.324;5.15;54.32;1021.54;16.65;normal
01/01/2024 02:00;26.56;13.046;1.31;5.43;48.98;1022.04;17.093;normal
01/01/2024 02:05;27.58;12.947;1.512;5.93;51.02;1012.81;19.63;normal
01/01/2024 02:10;26.78;11.618;1.387;5.94;53.35;1015.5;16.178;warning
